transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale,sale_hour,time_category,age_category,profit,Year_name,Month_name,Day_name
180,2022-11-05,10:47:00,117,Male,41,Clothing,3,300,129,900,10,Morning,Adult,771.00,2022,November,Saturday
522,2022-07-09,11:00:00,52,Male,46,Beauty,3,500,145,1500,11,Morning,Adult,1355.00,2022,July,Saturday
559,2022-12-12,10:48:00,5,Female,40,Clothing,4,300,84,1200,10,Morning,Adult,1116.00,2022,December,Monday
1180,2022-01-06,8:53:00,85,Male,41,Clothing,3,300,129,900,8,Morning,Adult,771.00,2022,January,Thursday
1522,2022-11-14,8:35:00,48,Male,46,Beauty,3,500,235,1500,8,Morning,Adult,1265.00,2022,November,Monday
1559,2022-08-20,7:40:00,49,Female,40,Clothing,4,300,144,1200,7,Morning,Adult,1056.00,2022,August,Saturday
163,2022-10-31,9:38:00,144,Female,64,Clothing,3,50,23,150,9,Morning,Old,127.00,2022,October,Monday
303,2022-04-22,11:09:00,54,Male,19,Electronics,3,30,15,90,11,Morning,Adult,75.00,2022,April,Friday
421,2022-04-08,8:43:00,66,Female,37,Clothing,3,500,235,1500,8,Morning,Adult,1265.00,2022,April,Friday
979,2022-05-18,10:18:00,6,Female,19,Beauty,1,25,11,25,10,Morning,Adult,14.00,2022,May,Wednesday
1163,2022-05-04,10:52:00,120,Female,64,Clothing,3,50,27,150,10,Morning,Old,123.00,2022,May,Wednesday
1303,2022-03-19,8:59:00,58,Male,19,Electronics,3,30,15,90,8,Morning,Adult,75.00,2022,March,Saturday
1421,2022-01-17,7:07:00,59,Female,37,Clothing,3,500,185,1500,7,Morning,Adult,1315.00,2022,January,Monday
1979,2022-08-17,11:34:00,102,Female,19,Beauty,1,25,8,25,11,Morning,Adult,17.00,2022,August,Wednesday
610,2022-12-18,6:56:00,137,Female,26,Beauty,2,300,93,600,6,Morning,Adult,507.00,2022,December,Sunday
1610,2022-11-23,10:18:00,1,Female,26,Beauty,2,300,102,600,10,Morning,Adult,498.00,2022,November,Wednesday
32,2022-07-16,9:11:00,150,Male,30,Beauty,3,30,8,90,9,Morning,Adult,82.00,2022,July,Saturday
231,2022-07-09,7:02:00,50,Female,23,Clothing,3,50,27,150,7,Morning,Adult,123.00,2022,July,Saturday
683,2022-03-06,10:22:00,82,Male,38,Beauty,2,500,175,1000,10,Morning,Adult,825.00,2022,March,Sunday
1032,2022-04-01,8:15:00,1,Male,30,Beauty,3,30,11,90,8,Morning,Adult,79.00,2022,April,Friday
1231,2022-01-29,7:05:00,12,Female,23,Clothing,3,50,23,150,7,Morning,Adult,127.00,2022,January,Saturday
1683,2022-05-04,7:19:00,98,Male,38,Beauty,2,500,220,1000,7,Morning,Adult,780.00,2022,May,Wednesday
367,2022-12-30,7:03:00,123,Female,57,Electronics,1,50,18,50,7,Morning,Adult,32.00,2022,December,Friday
391,2022-03-25,7:37:00,68,Male,19,Beauty,2,25,6,50,7,Morning,Adult,44.00,2022,March,Friday
1797,2022-04-16,11:47:00,147,Male,40,Clothing,3,25,12,75,11,Morning,Adult,63.00,2022,April,Saturday
1921,2022-02-08,7:01:00,77,Male,51,Electronics,3,25,8,75,7,Morning,Adult,67.00,2022,February,Tuesday
291,2022-11-22,8:29:00,15,Male,60,Clothing,2,300,126,600,8,Morning,Old,474.00,2022,November,Tuesday
907,2022-09-02,6:16:00,145,Female,45,Electronics,1,25,9,25,6,Morning,Adult,16.00,2022,September,Friday
1291,2022-04-04,11:19:00,72,Male,60,Clothing,2,300,153,600,11,Morning,Old,447.00,2022,April,Monday
1907,2022-11-17,11:21:00,115,Female,45,Electronics,1,25,9,25,11,Morning,Adult,16.00,2022,November,Thursday
860,2022-04-11,8:58:00,85,Male,63,Clothing,4,50,16,200,8,Morning,Old,184.00,2022,April,Monday
1860,2022-03-12,11:21:00,57,Male,63,Clothing,4,50,18,200,11,Morning,Old,182.00,2022,March,Saturday
184,2022-02-13,6:44:00,128,Male,31,Electronics,4,50,17,200,6,Morning,Adult,183.00,2022,February,Sunday
734,2022-03-12,8:54:00,77,Female,27,Clothing,1,30,16,30,8,Morning,Adult,14.00,2022,March,Saturday
1184,2022-02-12,8:28:00,23,Male,31,Electronics,4,50,28,200,8,Morning,Adult,172.00,2022,February,Saturday
1734,2022-02-28,8:58:00,72,Female,27,Clothing,1,30,14,30,8,Morning,Adult,16.00,2022,February,Monday
225,2022-03-05,7:37:00,85,Female,57,Beauty,4,25,13,100,7,Morning,Adult,87.00,2022,March,Saturday
1679,2022-09-23,8:08:00,71,Female,18,Beauty,3,30,15,90,8,Morning,Adult,75.00,2022,September,Friday
1746,2022-06-13,7:59:00,88,Female,33,Clothing,3,30,11,90,7,Morning,Adult,79.00,2022,June,Monday
3,2022-06-14,7:08:00,114,Male,50,Electronics,1,30,8,30,7,Morning,Adult,22.00,2022,June,Tuesday
464,2022-03-06,11:13:00,24,Male,38,Electronics,2,300,75,600,11,Morning,Adult,525.00,2022,March,Sunday
484,2022-03-13,7:52:00,135,Female,19,Clothing,4,300,75,1200,7,Morning,Adult,1125.00,2022,March,Sunday
591,2022-03-21,8:38:00,94,Male,53,Electronics,4,25,7,100,8,Morning,Adult,93.00,2022,March,Monday
1003,2022-01-26,7:59:00,80,Male,50,Electronics,1,30,16,30,7,Morning,Adult,14.00,2022,January,Wednesday
1464,2022-11-13,10:06:00,80,Male,38,Electronics,2,300,126,600,10,Morning,Adult,474.00,2022,November,Sunday
1484,2022-11-23,9:29:00,22,Female,19,Clothing,4,300,147,1200,9,Morning,Adult,1053.00,2022,November,Wednesday
1591,2022-09-29,11:00:00,62,Male,53,Electronics,4,25,7,100,11,Morning,Adult,93.00,2022,September,Thursday
21,2022-07-11,7:33:00,59,Female,50,Beauty,1,500,275,500,7,Morning,Adult,225.00,2022,July,Monday
708,2022-04-06,8:38:00,62,Female,43,Beauty,3,300,87,900,8,Morning,Adult,813.00,2022,April,Wednesday
713,2022-04-16,11:43:00,39,Male,34,Beauty,3,25,11,75,11,Morning,Adult,64.00,2022,April,Saturday
768,2022-06-27,6:50:00,58,Female,24,Beauty,3,25,11,75,6,Morning,Adult,64.00,2022,June,Monday
1021,2022-06-11,10:19:00,44,Female,50,Beauty,1,500,155,500,10,Morning,Adult,345.00,2022,June,Saturday
1708,2022-02-08,7:47:00,41,Female,43,Beauty,3,300,162,900,7,Morning,Adult,738.00,2022,February,Tuesday
1713,2022-10-03,10:10:00,90,Male,34,Beauty,3,25,11,75,10,Morning,Adult,64.00,2022,October,Monday
1768,2022-07-31,9:52:00,85,Female,24,Beauty,3,25,9,75,9,Morning,Adult,66.00,2022,July,Sunday
499,2022-04-03,10:52:00,15,Male,46,Beauty,2,30,17,60,10,Morning,Adult,43.00,2022,April,Sunday
697,2022-12-25,7:52:00,152,Male,53,Clothing,1,500,200,500,7,Morning,Adult,300.00,2022,December,Sunday
831,2022-11-30,11:49:00,149,Male,27,Electronics,4,25,14,100,11,Morning,Adult,86.00,2022,November,Wednesday
1499,2022-09-23,9:46:00,3,Male,46,Beauty,2,30,12,60,9,Morning,Adult,48.00,2022,September,Friday
1697,2022-12-18,8:22:00,54,Male,53,Clothing,1,500,265,500,8,Morning,Adult,235.00,2022,December,Sunday
1831,2022-03-26,10:54:00,80,Male,27,Electronics,4,25,7,100,10,Morning,Adult,93.00,2022,March,Saturday
15,2022-07-01,11:50:00,75,Female,42,Electronics,4,500,210,2000,11,Morning,Adult,1790.00,2022,July,Friday
743,2022-08-07,7:54:00,55,Female,34,Beauty,4,500,260,2000,7,Morning,Adult,1740.00,2022,August,Sunday
1015,2022-03-09,11:53:00,94,Female,42,Electronics,4,500,200,2000,11,Morning,Adult,1800.00,2022,March,Wednesday
1743,2022-10-26,9:37:00,47,Female,34,Beauty,4,500,250,2000,9,Morning,Adult,1750.00,2022,October,Wednesday
14,2022-05-18,7:11:00,8,Male,64,Clothing,4,30,13,120,7,Morning,Old,107.00,2022,May,Wednesday
103,2022-11-12,10:05:00,33,Female,59,Clothing,1,25,11,25,10,Morning,Adult,14.00,2022,November,Saturday
238,2022-05-10,11:52:00,20,Female,39,Beauty,1,500,150,500,11,Morning,Adult,350.00,2022,May,Tuesday
986,2022-08-01,9:35:00,65,Female,49,Clothing,2,500,200,1000,9,Morning,Adult,800.00,2022,August,Monday
1014,2022-02-04,10:26:00,147,Male,64,Clothing,4,30,11,120,10,Morning,Old,109.00,2022,February,Friday
1103,2022-02-14,7:11:00,61,Female,59,Clothing,1,25,7,25,7,Morning,Adult,18.00,2022,February,Monday
1238,2022-09-17,7:38:00,129,Female,39,Beauty,1,500,165,500,7,Morning,Adult,335.00,2022,September,Saturday
1986,2022-09-14,8:28:00,29,Female,49,Clothing,2,500,145,1000,8,Morning,Adult,855.00,2022,September,Wednesday
438,2022-08-31,10:15:00,88,Female,42,Clothing,1,30,16,30,10,Morning,Adult,14.00,2022,August,Wednesday
1438,2022-01-07,10:00:00,72,Female,42,Clothing,1,30,14,30,10,Morning,Adult,16.00,2022,January,Friday
475,2022-08-12,10:39:00,78,Male,26,Clothing,3,25,9,75,10,Morning,Adult,66.00,2022,August,Friday
505,2022-12-17,7:25:00,86,Male,24,Beauty,1,50,20,50,7,Morning,Adult,30.00,2022,December,Saturday
1475,2022-10-04,7:03:00,132,Male,26,Clothing,3,25,11,75,7,Morning,Adult,64.00,2022,October,Tuesday
1505,2022-10-30,8:00:00,98,Male,24,Beauty,1,50,15,50,8,Morning,Adult,35.00,2022,October,Sunday
344,2022-07-17,9:47:00,69,Female,42,Beauty,1,30,8,30,9,Morning,Adult,22.00,2022,July,Sunday
448,2022-03-19,9:36:00,86,Female,54,Beauty,2,30,16,60,9,Morning,Adult,44.00,2022,March,Saturday
742,2022-03-19,6:08:00,37,Female,38,Electronics,4,500,195,2000,6,Morning,Adult,1805.00,2022,March,Saturday
1344,2022-12-18,6:12:00,144,Female,42,Beauty,1,30,11,30,6,Morning,Adult,19.00,2022,December,Sunday
1448,2022-05-16,6:28:00,51,Female,54,Beauty,2,30,9,60,6,Morning,Adult,51.00,2022,May,Monday
1742,2022-11-22,8:25:00,18,Female,38,Electronics,4,500,220,2000,8,Morning,Adult,1780.00,2022,November,Tuesday
445,2022-04-14,10:48:00,132,Female,53,Electronics,1,300,138,300,10,Morning,Adult,162.00,2022,April,Thursday
787,2022-06-10,10:42:00,25,Male,41,Electronics,1,25,14,25,10,Morning,Adult,11.00,2022,June,Friday
1445,2022-04-19,6:16:00,31,Female,53,Electronics,1,300,129,300,6,Morning,Adult,171.00,2022,April,Tuesday
1787,2022-05-30,7:42:00,104,Male,41,Electronics,1,25,10,25,7,Morning,Adult,15.00,2022,May,Monday
49,2022-09-17,10:33:00,37,Female,54,Electronics,2,500,255,1000,10,Morning,Adult,745.00,2022,September,Saturday
420,2022-01-02,10:53:00,28,Female,22,Clothing,4,500,200,2000,10,Morning,Adult,1800.00,2022,January,Sunday
519,2022-04-08,10:17:00,52,Female,36,Electronics,4,30,17,120,10,Morning,Adult,103.00,2022,April,Friday
1049,2022-05-16,6:36:00,143,Female,54,Electronics,2,500,125,1000,6,Morning,Adult,875.00,2022,May,Monday
1420,2022-04-15,7:01:00,138,Female,22,Clothing,4,500,205,2000,7,Morning,Adult,1795.00,2022,April,Friday
1519,2022-01-08,7:35:00,139,Female,36,Electronics,4,30,9,120,7,Morning,Adult,111.00,2022,January,Saturday
64,2022-11-15,6:34:00,7,Male,49,Clothing,4,25,9,100,6,Morning,Adult,91.00,2022,November,Tuesday
592,2022-12-26,9:15:00,77,Female,46,Beauty,4,500,275,2000,9,Morning,Adult,1725.00,2022,December,Monday
912,2022-10-31,6:18:00,122,Male,51,Beauty,3,50,21,150,6,Morning,Adult,129.00,2022,October,Monday
1064,2022-04-14,10:38:00,49,Male,49,Clothing,4,25,14,100,10,Morning,Adult,86.00,2022,April,Thursday
1592,2022-03-16,9:08:00,81,Female,46,Beauty,4,500,155,2000,9,Morning,Adult,1845.00,2022,March,Wednesday
1912,2022-05-27,7:40:00,146,Male,51,Beauty,3,50,22,150,7,Morning,Adult,128.00,2022,May,Friday
134,2022-08-25,9:03:00,132,Male,49,Electronics,1,50,16,50,9,Morning,Adult,34.00,2022,August,Thursday
1134,2022-08-05,9:04:00,106,Male,49,Electronics,1,50,24,50,9,Morning,Adult,26.00,2022,August,Friday
288,2022-05-02,9:59:00,27,Male,28,Clothing,4,30,12,120,9,Morning,Adult,108.00,2022,May,Monday
323,2022-01-21,8:22:00,97,Female,29,Beauty,3,300,150,900,8,Morning,Adult,750.00,2022,January,Friday
618,2022-10-13,10:22:00,5,Female,27,Beauty,1,50,26,50,10,Morning,Adult,24.00,2022,October,Thursday
720,2022-04-08,8:50:00,116,Female,56,Beauty,3,500,235,1500,8,Morning,Adult,1265.00,2022,April,Friday
1288,2022-04-05,11:56:00,26,Male,28,Clothing,4,30,9,120,11,Morning,Adult,111.00,2022,April,Tuesday
1323,2022-08-15,10:49:00,136,Female,29,Beauty,3,300,114,900,10,Morning,Adult,786.00,2022,August,Monday
1618,2022-09-15,6:27:00,118,Female,27,Beauty,1,50,14,50,6,Morning,Adult,36.00,2022,September,Thursday
1720,2022-10-10,8:51:00,28,Female,56,Beauty,3,500,190,1500,8,Morning,Adult,1310.00,2022,October,Monday
415,2022-01-05,9:59:00,85,Male,53,Clothing,2,30,8,60,9,Morning,Adult,52.00,2022,January,Wednesday
736,2022-12-18,8:30:00,97,Male,29,Clothing,4,25,10,100,8,Morning,Adult,90.00,2022,December,Sunday
929,2022-03-11,10:18:00,40,Female,23,Beauty,3,25,11,75,10,Morning,Adult,64.00,2022,March,Friday
1415,2022-03-06,7:11:00,146,Male,53,Clothing,2,30,15,60,7,Morning,Adult,45.00,2022,March,Sunday
1736,2022-08-28,8:57:00,87,Male,29,Clothing,4,25,10,100,8,Morning,Adult,90.00,2022,August,Sunday
1929,2022-09-15,6:50:00,62,Female,23,Beauty,3,25,13,75,6,Morning,Adult,62.00,2022,September,Thursday
264,2022-12-26,11:03:00,111,Male,47,Clothing,3,300,150,900,11,Morning,Adult,750.00,2022,December,Monday
913,2022-10-12,10:52:00,78,Male,29,Electronics,3,30,17,90,10,Morning,Adult,73.00,2022,October,Wednesday
940,2022-01-05,8:11:00,46,Female,20,Electronics,1,30,10,30,8,Morning,Adult,20.00,2022,January,Wednesday
1264,2022-05-27,9:23:00,82,Male,47,Clothing,3,300,123,900,9,Morning,Adult,777.00,2022,May,Friday
1913,2022-06-23,7:10:00,101,Male,29,Electronics,3,30,14,90,7,Morning,Adult,76.00,2022,June,Thursday
1940,2022-06-15,9:47:00,56,Female,20,Electronics,1,30,11,30,9,Morning,Adult,19.00,2022,June,Wednesday
101,2022-01-08,8:46:00,24,Male,32,Clothing,2,300,135,600,8,Morning,Adult,465.00,2022,January,Saturday
1101,2022-05-17,7:47:00,15,Male,32,Clothing,2,300,132,600,7,Morning,Adult,468.00,2022,May,Tuesday
189,2022-01-02,9:44:00,143,Male,63,Beauty,1,50,15,50,9,Morning,Old,35.00,2022,January,Sunday
317,2022-05-04,7:54:00,117,Male,22,Electronics,3,30,12,90,7,Morning,Adult,78.00,2022,May,Wednesday
322,2022-10-19,6:11:00,13,Male,51,Electronics,1,500,125,500,6,Morning,Adult,375.00,2022,October,Wednesday
329,2022-10-27,7:42:00,52,Female,46,Electronics,4,25,8,100,7,Morning,Adult,92.00,2022,October,Thursday
1189,2022-12-07,6:08:00,104,Male,63,Beauty,1,50,21,50,6,Morning,Old,29.00,2022,December,Wednesday
1317,2022-08-25,8:02:00,144,Male,22,Electronics,3,30,12,90,8,Morning,Adult,78.00,2022,August,Thursday
1322,2022-11-14,9:56:00,10,Male,51,Electronics,1,500,250,500,9,Morning,Adult,250.00,2022,November,Monday
1329,2022-01-27,10:39:00,119,Female,46,Electronics,4,25,9,100,10,Morning,Adult,91.00,2022,January,Thursday
235,2022-03-10,10:13:00,132,Female,23,Electronics,2,500,275,1000,10,Morning,Adult,725.00,2022,March,Thursday
300,2022-01-08,9:41:00,138,Female,19,Electronics,4,50,27,200,9,Morning,Adult,173.00,2022,January,Saturday
964,2022-08-26,8:18:00,15,Male,24,Clothing,3,300,156,900,8,Morning,Adult,744.00,2022,August,Friday
1235,2022-04-04,6:44:00,87,Female,23,Electronics,2,500,220,1000,6,Morning,Adult,780.00,2022,April,Monday
1300,2022-08-08,8:57:00,7,Female,19,Electronics,4,50,24,200,8,Morning,Adult,176.00,2022,August,Monday
1964,2022-08-02,8:27:00,115,Male,24,Clothing,3,300,111,900,8,Morning,Adult,789.00,2022,August,Tuesday
269,2022-09-19,11:31:00,87,Male,25,Clothing,4,500,250,2000,11,Morning,Adult,1750.00,2022,September,Monday
320,2022-04-20,8:35:00,57,Female,28,Electronics,4,300,159,1200,8,Morning,Adult,1041.00,2022,April,Wednesday
673,2022-07-04,10:14:00,18,Female,43,Clothing,3,500,270,1500,10,Morning,Adult,1230.00,2022,July,Monday
1269,2022-01-01,8:09:00,71,Male,25,Clothing,4,500,145,2000,8,Morning,Adult,1855.00,2022,January,Saturday
1320,2022-11-02,11:55:00,102,Female,28,Electronics,4,300,84,1200,11,Morning,Adult,1116.00,2022,November,Wednesday
1673,2022-06-14,7:36:00,42,Female,43,Clothing,3,500,185,1500,7,Morning,Adult,1315.00,2022,June,Tuesday
142,2022-04-08,10:05:00,61,Male,35,Electronics,4,300,138,1200,10,Morning,Adult,1062.00,2022,April,Friday
223,2022-01-15,11:18:00,61,Female,64,Clothing,1,25,12,25,11,Morning,Old,13.00,2022,January,Saturday
666,2022-03-03,10:59:00,49,Male,51,Electronics,3,50,16,150,10,Morning,Adult,134.00,2022,March,Thursday
1142,2022-11-09,9:49:00,2,Male,35,Electronics,4,300,114,1200,9,Morning,Adult,1086.00,2022,November,Wednesday
1223,2022-02-20,7:40:00,106,Female,64,Clothing,1,25,10,25,7,Morning,Old,15.00,2022,February,Sunday
1666,2022-12-08,10:10:00,125,Male,51,Electronics,3,50,21,150,10,Morning,Adult,129.00,2022,December,Thursday
107,2022-10-06,9:18:00,75,Female,21,Clothing,4,300,78,1200,9,Morning,Adult,1122.00,2022,October,Thursday
933,2022-09-19,7:53:00,81,Male,22,Beauty,1,30,13,30,7,Morning,Adult,17.00,2022,September,Monday
1107,2022-12-31,11:14:00,62,Female,21,Clothing,4,300,102,1200,11,Morning,Adult,1098.00,2022,December,Saturday
1933,2022-01-12,11:04:00,121,Male,22,Beauty,1,30,14,30,11,Morning,Adult,16.00,2022,January,Wednesday
237,2022-04-11,8:54:00,105,Female,50,Beauty,2,500,165,1000,8,Morning,Adult,835.00,2022,April,Monday
335,2022-02-02,9:23:00,2,Female,47,Beauty,4,30,11,120,9,Morning,Adult,109.00,2022,February,Wednesday
1237,2022-02-23,9:20:00,48,Female,50,Beauty,2,500,215,1000,9,Morning,Adult,785.00,2022,February,Wednesday
1335,2022-05-27,8:45:00,117,Female,47,Beauty,4,30,9,120,8,Morning,Adult,111.00,2022,May,Friday
63,2022-02-03,11:49:00,127,Male,57,Electronics,2,25,6,50,11,Morning,Adult,44.00,2022,February,Thursday
195,2022-08-14,11:51:00,10,Male,52,Clothing,1,30,9,30,11,Morning,Adult,21.00,2022,August,Sunday
333,2022-10-06,8:15:00,21,Female,54,Electronics,4,300,99,1200,8,Morning,Adult,1101.00,2022,October,Thursday
379,2022-06-01,7:28:00,76,Female,47,Clothing,1,25,9,25,7,Morning,Adult,16.00,2022,June,Wednesday
490,2022-01-27,6:07:00,43,Male,34,Clothing,3,50,19,150,6,Morning,Adult,131.00,2022,January,Thursday
530,2022-05-01,7:52:00,8,Female,18,Electronics,4,30,9,120,7,Morning,Adult,111.00,2022,May,Sunday
740,2022-12-01,6:58:00,33,Female,25,Beauty,4,50,13,200,6,Morning,Adult,187.00,2022,December,Thursday
793,2022-05-27,10:53:00,1,Male,54,Beauty,1,30,15,30,10,Morning,Adult,15.00,2022,May,Friday
1063,2022-08-04,10:26:00,56,Male,57,Electronics,2,25,11,50,10,Morning,Adult,39.00,2022,August,Thursday
1195,2022-09-21,7:07:00,55,Male,52,Clothing,1,30,12,30,7,Morning,Adult,18.00,2022,September,Wednesday
1333,2022-11-01,11:38:00,151,Female,54,Electronics,4,300,165,1200,11,Morning,Adult,1035.00,2022,November,Tuesday
1379,2022-01-02,6:23:00,69,Female,47,Clothing,1,25,7,25,6,Morning,Adult,18.00,2022,January,Sunday
1490,2022-10-26,7:15:00,155,Male,34,Clothing,3,50,17,150,7,Morning,Adult,133.00,2022,October,Wednesday
1530,2022-12-10,8:17:00,93,Female,18,Electronics,4,30,12,120,8,Morning,Adult,108.00,2022,December,Saturday
1740,2022-07-16,6:01:00,66,Female,25,Beauty,4,50,27,200,6,Morning,Adult,173.00,2022,July,Saturday
1793,2022-12-11,6:05:00,88,Male,54,Beauty,1,30,11,30,6,Morning,Adult,19.00,2022,December,Sunday
85,2022-09-03,8:05:00,68,Male,31,Clothing,3,50,19,150,8,Morning,Adult,131.00,2022,September,Saturday
232,2022-08-12,7:14:00,150,Female,43,Beauty,1,25,13,25,7,Morning,Adult,12.00,2022,August,Friday
240,2022-11-05,11:49:00,95,Female,23,Beauty,1,300,123,300,11,Morning,Adult,177.00,2022,November,Saturday
993,2022-09-07,9:21:00,134,Female,48,Electronics,3,50,17,150,9,Morning,Adult,133.00,2022,September,Wednesday
1085,2022-08-12,9:29:00,76,Male,31,Clothing,3,50,17,150,9,Morning,Adult,133.00,2022,August,Friday
1232,2022-05-23,8:05:00,146,Female,43,Beauty,1,25,6,25,8,Morning,Adult,19.00,2022,May,Monday
1240,2022-08-07,7:42:00,144,Female,23,Beauty,1,300,90,300,7,Morning,Adult,210.00,2022,August,Sunday
1993,2022-12-29,11:53:00,123,Female,48,Electronics,3,50,27,150,11,Morning,Adult,123.00,2022,December,Thursday
366,2022-10-29,9:32:00,116,Male,57,Clothing,2,50,18,100,9,Morning,Adult,82.00,2022,October,Saturday
372,2022-06-19,11:45:00,27,Female,24,Beauty,3,500,140,1500,11,Morning,Adult,1360.00,2022,June,Sunday
596,2022-02-12,8:44:00,87,Female,64,Electronics,1,300,93,300,8,Morning,Old,207.00,2022,February,Saturday
936,2022-01-05,10:51:00,143,Male,57,Beauty,4,50,20,200,10,Morning,Adult,180.00,2022,January,Wednesday
1366,2022-01-01,11:34:00,25,Male,57,Clothing,2,50,24,100,11,Morning,Adult,76.00,2022,January,Saturday
1372,2022-03-18,10:53:00,60,Female,24,Beauty,3,500,145,1500,10,Morning,Adult,1355.00,2022,March,Friday
1596,2022-03-28,6:22:00,7,Female,64,Electronics,1,300,141,300,6,Morning,Old,159.00,2022,March,Monday
1936,2022-06-19,11:32:00,60,Male,57,Beauty,4,50,13,200,11,Morning,Adult,187.00,2022,June,Sunday
284,2022-11-12,9:17:00,129,Male,43,Clothing,4,50,21,200,9,Morning,Adult,179.00,2022,November,Saturday
434,2022-10-26,6:09:00,50,Female,43,Electronics,2,25,8,50,6,Morning,Adult,42.00,2022,October,Wednesday
775,2022-05-06,11:07:00,98,Female,46,Electronics,4,25,10,100,11,Morning,Adult,90.00,2022,May,Friday
977,2022-07-26,8:35:00,46,Female,35,Electronics,3,25,14,75,8,Morning,Adult,61.00,2022,July,Tuesday
1284,2022-12-16,11:43:00,145,Male,43,Clothing,4,50,18,200,11,Morning,Adult,182.00,2022,December,Friday
1434,2022-02-04,10:02:00,147,Female,43,Electronics,2,25,7,50,10,Morning,Adult,43.00,2022,February,Friday
1775,2022-12-18,8:04:00,78,Female,46,Electronics,4,25,14,100,8,Morning,Adult,86.00,2022,December,Sunday
1977,2022-08-05,10:46:00,63,Female,35,Electronics,3,25,12,75,10,Morning,Adult,63.00,2022,August,Friday
649,2022-06-21,8:17:00,44,Female,58,Clothing,2,300,135,600,8,Morning,Adult,465.00,2022,June,Tuesday
1649,2022-10-21,7:44:00,72,Female,58,Clothing,2,300,75,600,7,Morning,Adult,525.00,2022,October,Friday
54,2022-10-20,10:17:00,142,Female,38,Electronics,3,500,200,1500,10,Morning,Adult,1300.00,2022,October,Thursday
68,2022-12-15,9:06:00,146,Male,25,Electronics,1,300,84,300,9,Morning,Adult,216.00,2022,December,Thursday
